user,"Lentil, Apple, and Turkey Wrap ",Boudin Blanc Terrine with Red Onion Confit ,Potato and Fennel Soup Hodge ,Mahi-Mahi in Tomato Olive Sauce ,Spinach Noodle Casserole ,The Best Blts ,Ham and Spring Vegetable Salad with Shallot Vinaigrette ,Spicy-Sweet Kumquats ,Korean Marinated Beef ,Ham Persillade with Mustard Potato Salad and Mashed Peas ,"Yams Braised with Cream, Rosemary and Nutmeg ",Spicy Noodle Soup ,Banana-Chocolate Chip Cake With Peanut Butter Frosting ,Beef Tenderloin with Garlic and Brandy ,Peach Mustard ,Raw Cream of Spinach Soup ,Sweet Buttermilk Spoon Breads ,Crisp Braised Pork Shoulder ,Mozzarella-Topped Peppers with Tomatoes and Garlic ,"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers ",Asian Pear and Watercress Salad with Sesame Dressing ,"""Fried"" Chicken ",Fish Fillets in Parchment with Asparagus and Orange ,Pancetta and Taleggio Lasagna with Treviso ,Sea Salt-Roasted Pecans ,Garlic Baguette Crumbs ,Cucumber-Basil Egg Salad ,Dried Pear Crisps ,"Green Bean, Red Onion, and Roast Potato Salad with Rosemary Vinaigrette ",Apricot-Cherry Shortcakes 
Michael Grant,1,5,2,1,1,4,1,5,2,5,5,0,3,4,0,0,5,5,2,0,1,1,2,2,4,4,5,4,4,0
Scott Lane,1,0,5,5,1,4,4,1,0,0,2,3,2,0,4,1,5,0,0,4,1,1,0,1,5,3,3,4,2,4
Rachael Sims,3,5,1,5,2,2,3,5,3,1,2,2,5,1,2,0,3,5,1,3,1,3,0,2,4,1,0,0,2,0
Lori Nguyen,3,3,2,4,3,5,4,2,0,0,0,3,2,0,1,1,0,4,0,5,2,4,5,4,4,0,3,5,1,2
Todd Young,2,4,0,0,3,1,5,0,1,0,0,5,4,0,4,1,1,1,3,2,4,2,2,5,3,1,4,2,2,2
Jeremy Jones,4,5,1,2,3,5,1,4,0,0,4,4,2,4,5,4,4,4,4,3,4,4,0,4,0,3,0,5,5,0
Matthew Randall,0,0,2,1,4,5,0,4,1,4,5,0,2,0,4,0,4,4,0,1,2,5,4,1,1,1,0,1,3,4
Sherry Green,2,4,4,0,4,1,2,3,3,5,3,1,1,0,0,3,3,3,0,2,1,1,0,1,2,4,2,1,0,4
Thomas Kim,1,5,3,4,0,0,3,2,2,3,3,4,2,4,2,0,4,3,0,3,3,3,1,5,3,4,4,4,3,1
Brandon Howard,1,3,2,4,5,3,3,3,3,5,2,2,3,4,0,5,3,0,3,3,0,1,4,3,2,0,1,1,2,1
David Baldwin,4,1,2,0,2,3,1,1,3,2,3,0,3,4,3,2,1,0,1,5,0,5,1,4,3,3,5,1,1,2
Carolyn Gallagher,2,1,1,0,3,1,0,0,0,5,2,3,2,0,1,3,0,0,1,4,4,3,5,5,2,0,3,3,3,4
Joanna Mcgrath,2,2,1,5,2,0,4,1,4,4,4,4,1,5,0,4,5,1,2,3,0,2,1,1,3,3,2,0,0,5
Kenneth Hernandez,2,4,3,2,1,3,1,2,1,5,2,1,2,2,1,0,3,5,4,4,3,1,1,2,4,1,4,5,2,4
Casey Osborne,4,0,0,1,5,0,5,0,3,1,0,5,4,3,0,5,0,4,1,4,4,1,4,0,2,2,0,4,4,5
Melissa Larsen,4,4,2,1,5,5,4,2,2,3,1,4,0,0,2,1,2,0,0,3,5,1,3,4,2,3,5,3,0,3
Deborah Stephens,5,0,5,5,0,2,1,4,4,5,0,4,1,3,1,5,2,0,3,3,5,4,3,5,0,2,4,3,0,0
Scott Morrison,1,5,1,2,1,2,0,3,4,1,4,5,1,5,0,2,2,5,5,3,5,2,5,4,5,1,0,1,3,3
Gwendolyn Orozco,3,5,1,5,3,0,1,0,0,1,2,5,5,3,4,3,3,4,3,1,1,0,2,3,2,1,1,3,3,1
Andrew Hayden,0,3,5,3,4,1,5,4,1,4,2,4,5,4,0,1,5,0,1,1,0,4,3,4,2,1,4,5,3,5
Steven Dean,3,2,4,4,0,1,4,0,2,2,5,1,0,0,3,1,3,2,0,1,1,2,1,3,4,1,4,2,1,1
Kevin Landry,5,5,2,4,0,0,1,1,4,4,0,0,1,3,1,0,5,0,5,0,1,2,4,3,4,2,4,2,0,3
Angela Moreno,0,1,4,5,3,0,2,5,3,5,1,0,3,3,4,2,1,5,5,3,1,5,2,4,3,5,3,0,0,3
Charles Brown,0,0,3,1,2,1,1,5,0,1,0,5,3,3,0,3,4,4,2,2,1,0,4,3,5,3,0,3,1,5
Shannon Lee,0,1,5,3,5,1,5,5,2,1,2,4,0,4,4,5,4,0,2,3,1,0,1,3,2,2,1,1,5,0
Evan Adams,4,2,5,2,0,4,3,5,5,1,1,1,4,5,4,5,5,5,5,0,4,1,5,4,4,1,4,0,2,5
Thomas Duncan,4,3,2,4,5,1,2,3,2,1,5,4,2,2,5,3,2,3,1,1,1,1,4,0,0,0,1,1,3,0
Lee Jones,5,4,5,1,2,0,5,2,3,5,3,3,0,3,2,2,0,1,2,2,3,0,3,5,2,4,4,3,5,1
Samantha Obrien,0,4,4,0,2,2,0,2,3,5,3,2,5,1,4,0,5,5,1,4,2,2,0,2,4,1,0,3,5,5
Jennifer Adams,3,0,0,5,4,1,5,5,1,5,3,1,1,2,5,1,0,5,5,3,2,1,5,4,4,4,5,3,1,3
